year,grid_id,central_lat,central_lon,total_flood_event,total_damages,primary_admin1,unique_locations,avg_duration,avg_damage_per_flood,event_summary
1965,-25_-58,-25,-58,1,17200.0,Asuncion,Asuncion,,17200.0,"In 1965: 1 events (1 floods), total damages: 17200.0 ('000 US$)"
1965,-2_-80,-2,-80,1,34400.0,Guayas,Daule river Valley,,34400.0,"In 1965: 1 events (1 floods), total damages: 34400.0 ('000 US$)"
1965,-15_-68,-15,-68,1,860.0,La Paz,Cangalli,0.0,860.0,"In 1965: 1 events (1 floods), total damages: 860.0 ('000 US$)"
1966,9_-79,9,-79,1,8348.0,Panama,Pacora-Chepo,0.0,8348.0,"In 1966: 1 events (1 floods), total damages: 8348.0 ('000 US$)"
1966,-7_110,-7,110,1,275492.0,Jawa Tengah,Jawa Tengah,0.0,275492.0,"In 1966: 1 events (1 floods), total damages: 275492.0 ('000 US$)"
1966,16_-15,16,-15,1,417.0,Saint-Louis,Saint Louis,0.0,417.0,"In 1966: 1 events (1 floods), total damages: 417.0 ('000 US$)"
1966,25_94,25,94,1,11688.0,Manipur,Manipur,,11688.0,"In 1966: 1 events (1 floods), total damages: 11688.0 ('000 US$)"
1966,-26_-49,-26,-49,1,425760.0,Santa Catarina,Guanabara,0.0,425760.0,"In 1966: 1 events (1 floods), total damages: 425760.0 ('000 US$)"
1966,30_37,30,37,1,11688.0,Ma'An,Ma'An,0.0,11688.0,"In 1966: 1 events (1 floods), total damages: 11688.0 ('000 US$)"
1966,48_107,48,107,1,208706.0,Ulaanbaatar,Ulan Bator,0.0,208706.0,"In 1966: 1 events (1 floods), total damages: 208706.0 ('000 US$)"
1966,37_127,37,127,1,15862.0,Gyeonggi-Do,Kyonggi,0.0,15862.0,"In 1966: 1 events (1 floods), total damages: 15862.0 ('000 US$)"
1966,25_92,25,92,1,8348.0,Sylhet,Sylhet,,8348.0,"In 1966: 1 events (1 floods), total damages: 8348.0 ('000 US$)"
1966,-8_-35,-8,-35,1,82764.0,Pernambuco,Recife,0.0,82764.0,"In 1966: 1 events (1 floods), total damages: 82764.0 ('000 US$)"
1966,36_1,36,1,1,83482.0,Chlef,West El-Asnam,0.0,83482.0,"In 1966: 1 events (1 floods), total damages: 83482.0 ('000 US$)"
1966,44_11,44,11,1,16696460.0,Toscana,Florence,0.0,16696460.0,"In 1966: 1 events (1 floods), total damages: 16696460.0 ('000 US$)"
1966,-23_-64,-23,-64,1,985.0,Tarija,Bermejo,0.0,985.0,"In 1966: 1 events (1 floods), total damages: 985.0 ('000 US$)"
1967,-31_-52,-31,-52,1,8123.0,Rio Grande Do Sul,Porto Alegre,0.0,8123.0,"In 1967: 1 events (1 floods), total damages: 8123.0 ('000 US$)"
1967,-6_106,-6,106,1,,Banten,Banten,0.0,,"In 1967: 1 events (1 floods), total damages: N/A ('000 US$)"
1967,38_140,38,140,1,,Yamagata,Yamagata,0.0,,"In 1967: 1 events (1 floods), total damages: N/A ('000 US$)"
1967,36_38,36,38,1,40615.0,Aleppo,Aleppo,0.0,40615.0,"In 1967: 1 events (1 floods), total damages: 40615.0 ('000 US$)"
1967,-10_-37,-10,-37,1,40615.0,Alagoas,Alagoas,0.0,40615.0,"In 1967: 1 events (1 floods), total damages: 40615.0 ('000 US$)"
1967,-37_-61,-37,-61,1,24369.0,Buenos Aires,Buenos Aires suburbs,0.0,24369.0,"In 1967: 1 events (1 floods), total damages: 24369.0 ('000 US$)"
1967,25_67,25,67,1,22744.0,Sind,Karachi area,0.0,22744.0,"In 1967: 1 events (1 floods), total damages: 22744.0 ('000 US$)"
1967,-23_33,-23,33,1,1462139.0,Gaza, Gaza,,1462139.0,"In 1967: 1 events (1 floods), total damages: 1462139.0 ('000 US$)"
1967,-4_128,-4,128,1,,Maluku,Ambon,,,"In 1967: 1 events (1 floods), total damages: N/A ('000 US$)"
1967,39_-9,39,-9,1,24369.0,Lisboa,Lisbon,0.0,24369.0,"In 1967: 1 events (1 floods), total damages: 24369.0 ('000 US$)"
1967,-26_-49,-26,-49,1,63359.0,Santa Catarina,Guanabara,0.0,63359.0,"In 1967: 1 events (1 floods), total damages: 63359.0 ('000 US$)"
1967,-12_-42,-12,-42,1,12184.0,Bahia,Bahia,0.0,12184.0,"In 1967: 1 events (1 floods), total damages: 12184.0 ('000 US$)"
1967,-8_113,-8,113,1,,Jawa Timur,East Java,,,"In 1967: 1 events (1 floods), total damages: N/A ('000 US$)"
1967,36_7,36,7,1,24369.0,Constantine,Aures Samura Constantine,,24369.0,"In 1967: 1 events (1 floods), total damages: 24369.0 ('000 US$)"
1967,19_-100,19,-100,1,4061.0,Mexico,Mexico,0.0,4061.0,"In 1967: 1 events (1 floods), total damages: 4061.0 ('000 US$)"
1967,7_82,7,82,1,24369.0,Ampara,Eastern,0.0,24369.0,"In 1967: 1 events (1 floods), total damages: 24369.0 ('000 US$)"
1967,5_103,5,103,1,207949.0,Trengganu, Trengganu,,207949.0,"In 1967: 1 events (1 floods), total damages: 207949.0 ('000 US$)"
1967,-6_107,-6,107,1,,Jakarta Raya,Jakarta,0.0,,"In 1967: 1 events (1 floods), total damages: N/A ('000 US$)"
1967,-2_-80,-2,-80,1,812.0,Guayas,Milagro,0.0,812.0,"In 1967: 1 events (1 floods), total damages: 812.0 ('000 US$)"
1968,6_-1,6,-1,1,581929.0,Central,Central,,581929.0,"In 1968: 1 events (1 floods), total damages: 581929.0 ('000 US$)"
1968,-8_39,-8,39,1,7790.0,Pwani,Rufiji river Valley,,7790.0,"In 1968: 1 events (1 floods), total damages: 7790.0 ('000 US$)"
1968,26_93,26,93,1,,Assam,Assam,0.0,,"In 1968: 1 events (1 floods), total damages: N/A ('000 US$)"
1968,31_48,31,48,1,23371.0,Al-Basrah,Euphrates River Basin,,23371.0,"In 1968: 1 events (1 floods), total damages: 23371.0 ('000 US$)"
1968,-32_26,-32,26,1,233706.0,Eastern Cape,Port Elizabeth,0.0,233706.0,"In 1968: 1 events (1 floods), total damages: 233706.0 ('000 US$)"
1968,27_87,27,87,1,2337.0,East,East,0.0,2337.0,"In 1968: 1 events (1 floods), total damages: 2337.0 ('000 US$)"
1968,14_-84,14,-84,1,11685.0,Atlantico Norte,El Salto,0.0,11685.0,"In 1968: 1 events (1 floods), total damages: 11685.0 ('000 US$)"
1968,23_72,23,72,1,733838.0,Gujarat, Gujarat - ,,733838.0,"In 1968: 1 events (1 floods), total damages: 733838.0 ('000 US$)"
1968,7_126,7,126,1,,Davao Oriental,Mindanao,0.0,,"In 1968: 1 events (1 floods), total damages: N/A ('000 US$)"
1968,45_8,45,8,1,,Piemonte,Asti,0.0,,"In 1968: 1 events (1 floods), total damages: N/A ('000 US$)"
1968,6_44,6,44,1,7167.0,Somali,Kelafo,0.0,7167.0,"In 1968: 1 events (1 floods), total damages: 7167.0 ('000 US$)"
1968,-8_113,-8,113,1,61005.0,Jawa Timur,East Java,,61005.0,"In 1968: 1 events (1 floods), total damages: 61005.0 ('000 US$)"
1969,-10_-37,-10,-37,1,42621.0,Alagoas,Alagoas,0.0,42621.0,"In 1969: 1 events (1 floods), total damages: 42621.0 ('000 US$)"
1969,37_3,37,3,1,73867.0,Alger,Alger,,73867.0,"In 1969: 1 events (1 floods), total damages: 73867.0 ('000 US$)"
1969,-14_35,-14,35,1,1477.0,Mangochi,Shire River valley,,1477.0,"In 1969: 1 events (1 floods), total damages: 1477.0 ('000 US$)"
1969,37_10,37,10,1,738672.0,Ariana,Ariana,,738672.0,"In 1969: 1 events (1 floods), total damages: 738672.0 ('000 US$)"
1969,7_82,7,82,1,62787.0,Ampara,Eastern,0.0,62787.0,"In 1969: 1 events (1 floods), total damages: 62787.0 ('000 US$)"
1969,19_102,19,102,1,,Vientiane,Vientiane plains,0.0,,"In 1969: 1 events (1 floods), total damages: N/A ('000 US$)"
1969,36_118,36,118,1,,Shandong,Shantung province,0.0,,"In 1969: 1 events (1 floods), total damages: N/A ('000 US$)"
1969,38_47,38,47,1,,East Azarbaijan,East Azarbaijan,0.0,,"In 1969: 1 events (1 floods), total damages: N/A ('000 US$)"
1969,10_-83,10,-83,1,29547.0,Limon, Limon,,29547.0,"In 1969: 1 events (1 floods), total damages: 29547.0 ('000 US$)"
1969,10_-74,10,-74,1,3693.0,Magdalena,Magdalena River area,,3693.0,"In 1969: 1 events (1 floods), total damages: 3693.0 ('000 US$)"
1970,-8_-35,-8,-35,1,321046.0,Pernambuco,Recife,0.0,321046.0,"In 1970: 1 events (1 floods), total damages: 321046.0 ('000 US$)"
1970,10_-83,10,-83,1,167502.0,Limon,Estrella Valley,0.0,167502.0,"In 1970: 1 events (1 floods), total damages: 167502.0 ('000 US$)"
1970,23_72,23,72,1,,Gujarat,Gujarat,0.0,,"In 1970: 1 events (1 floods), total damages: N/A ('000 US$)"
1970,8_-81,8,-81,1,,Veraguas,Veraguas province,,,"In 1970: 1 events (1 floods), total damages: N/A ('000 US$)"
1970,8_-82,8,-82,1,104689.0,Chiriqui,Chiriqui province,0.0,104689.0,"In 1970: 1 events (1 floods), total damages: 104689.0 ('000 US$)"
1970,22_114,22,114,2,,Sha Tin,"Sha Tin area, Taipo area",0.0,,"In 1970: 2 events (2 floods), total damages: N/A ('000 US$)"
1970,10_-84,10,-84,1,41876.0,Cartago,Cartago,0.0,41876.0,"In 1970: 1 events (1 floods), total damages: 41876.0 ('000 US$)"
1970,44_9,44,9,1,1872535.0,Liguria,Genoa,0.0,1872535.0,"In 1970: 1 events (1 floods), total damages: 1872535.0 ('000 US$)"
1970,-4_-70,-4,-70,1,349.0,Amazonas,Leticia ,,349.0,"In 1970: 1 events (1 floods), total damages: 349.0 ('000 US$)"
1970,19_-99,19,-99,1,,Distrito Federal,Mexico city,0.0,,"In 1970: 1 events (1 floods), total damages: N/A ('000 US$)"
1970,13_-60,13,-60,1,3490.0,Christ Church,Christ Church,0.0,3490.0,"In 1970: 1 events (1 floods), total damages: 3490.0 ('000 US$)"
1970,5_-75,5,-75,1,,Caldas,Caldas,0.0,,"In 1970: 1 events (1 floods), total damages: N/A ('000 US$)"
1970,11_2,11,2,1,1396.0,Atakora,Atacora region,,1396.0,"In 1970: 1 events (1 floods), total damages: 1396.0 ('000 US$)"
1970,-12_-77,-12,-77,1,36292.0,Lima,1,,36292.0,"In 1970: 1 events (1 floods), total damages: 36292.0 ('000 US$)"
1970,3_102,3,102,1,258233.0,Kuala Lumpur,Capital,0.0,258233.0,"In 1970: 1 events (1 floods), total damages: 258233.0 ('000 US$)"
1970,48_20,48,20,1,593237.0,Heves,Tisza,60.0,593237.0,"In 1970: 1 events (1 floods), total damages: 593237.0 ('000 US$)"
1970,-2_-80,-2,-80,2,3630.0,Guayas," Guayas provinces, Guayas",0.0,1815.0,"In 1970: 2 events (2 floods), total damages: 3630.0 ('000 US$)"
1970,-35_-69,-35,-69,1,174481.0,Mendoza,Mendoza,0.0,174481.0,"In 1970: 1 events (1 floods), total damages: 174481.0 ('000 US$)"
1971,0_-76,0,-76,1,335.0,Sucumbios,Putumayo river,,335.0,"In 1971: 1 events (1 floods), total damages: 335.0 ('000 US$)"
1971,27_93,27,93,1,3546752.0,Assam, Tezpur sub-divisions,,3546752.0,"In 1971: 1 events (1 floods), total damages: 3546752.0 ('000 US$)"
1971,19_102,19,102,1,1338.0,Vientiane,Vientiane,0.0,1338.0,"In 1971: 1 events (1 floods), total damages: 1338.0 ('000 US$)"
1971,-23_-57,-23,-57,1,335.0,Concepcion, Concepcion,,335.0,"In 1971: 1 events (1 floods), total damages: 335.0 ('000 US$)"
1971,-13_-38,-13,-38,1,34798.0,Bahia,Salvador,0.0,34798.0,"In 1971: 1 events (1 floods), total damages: 34798.0 ('000 US$)"
1971,7_-58,7,-58,1,1338.0,Demerara-Mahaica, Cane Grove,,1338.0,"In 1971: 1 events (1 floods), total damages: 1338.0 ('000 US$)"
1971,4_-77,4,-77,1,,Valle Del Cauca, Cauca Vals,,,"In 1971: 1 events (1 floods), total damages: N/A ('000 US$)"
1971,-32_147,-32,147,1,133840.0,New South Wales,South Wales,0.0,133840.0,"In 1971: 1 events (1 floods), total damages: 133840.0 ('000 US$)"
1971,51_6,51,6,1,,Wallonie,Bassenge,0.0,,"In 1971: 1 events (1 floods), total damages: N/A ('000 US$)"
1971,27_81,27,81,1,,Uttar Pradesh,Uttar Pradesh,0.0,,"In 1971: 1 events (1 floods), total damages: N/A ('000 US$)"
1971,-22_-43,-22,-43,1,,Rio De Janeiro,Rio de Janeiro,0.0,,"In 1971: 1 events (1 floods), total damages: N/A ('000 US$)"
1972,9_-79,9,-79,1,324.0,Panama,San Miguelito,0.0,324.0,"In 1972: 1 events (1 floods), total damages: 324.0 ('000 US$)"
1972,18_-74,18,-74,1,6214.0,Sud,Les Cayes region,0.0,6214.0,"In 1972: 1 events (1 floods), total damages: 6214.0 ('000 US$)"
1972,43_-79,43,-79,1,777593.0,Ohio,Buffalo Creek,0.0,777593.0,"In 1972: 1 events (1 floods), total damages: 777593.0 ('000 US$)"
1972,38_-1,38,-1,1,129599.0,Comunidad Valenciana,Alicante province,,129599.0,"In 1972: 1 events (1 floods), total damages: 129599.0 ('000 US$)"
1972,14_122,14,122,1,1425588.0,Quezon, NorthLuzon,,1425588.0,"In 1972: 1 events (1 floods), total damages: 1425588.0 ('000 US$)"
1972,25_92,25,92,1,,Sylhet,Sylhet,0.0,,"In 1972: 1 events (1 floods), total damages: N/A ('000 US$)"
1972,19_-99,19,-99,1,,Distrito Federal,Mexico city,0.0,,"In 1972: 1 events (1 floods), total damages: N/A ('000 US$)"
1973,21_-103,21,-103,1,,Jalisco,Guadalajara,0.0,,"In 1973: 1 events (1 floods), total damages: N/A ('000 US$)"
1973,33_-90,33,-90,1,3051461.0,Mississippi,Mississippi,,3051461.0,"In 1973: 1 events (1 floods), total damages: 3051461.0 ('000 US$)"
1973,4_19,4,19,1,,Bangui,Bangui,0.0,,"In 1973: 1 events (1 floods), total damages: N/A ('000 US$)"
1973,21_-101,21,-101,1,610292.0,Guanajuato,Irapuato,,610292.0,"In 1973: 1 events (1 floods), total damages: 610292.0 ('000 US$)"
1973,8_-81,8,-81,1,,Veraguas,South Veraguas,0.0,,"In 1973: 1 events (1 floods), total damages: N/A ('000 US$)"
1973,37_-2,37,-2,1,2441169.0,Andalucia,Almeria,0.0,2441169.0,"In 1973: 1 events (1 floods), total damages: 2441169.0 ('000 US$)"
1973,7_125,7,125,1,3009.0,North Cotabato,Cotabato,0.0,3009.0,"In 1973: 1 events (1 floods), total damages: 3009.0 ('000 US$)"
1973,13_44,13,44,1,,Ta'izz,Taiz province,0.0,,"In 1973: 1 events (1 floods), total damages: N/A ('000 US$)"
1973,-23_145,-23,145,1,433307.0,Queensland,Queensland,,433307.0,"In 1973: 1 events (1 floods), total damages: 433307.0 ('000 US$)"
1973,26_69,26,69,1,4037083.0,Sind, Sind,,4037083.0,"In 1973: 1 events (1 floods), total damages: 4037083.0 ('000 US$)"
1973,-20_-42,-20,-42,1,97647.0,Minas Gerais,Caratinga,0.0,97647.0,"In 1973: 1 events (1 floods), total damages: 97647.0 ('000 US$)"
1973,35_-1,35,-1,1,61029.0,Tlemcen, Tlemcen,,61029.0,"In 1973: 1 events (1 floods), total damages: 61029.0 ('000 US$)"
1974,-27_153,-27,153,1,32819.0,Queensland,Brisbane,,32819.0,"In 1974: 1 events (1 floods), total damages: 32819.0 ('000 US$)"
1974,18_95,18,95,1,,Ayeyarwady,Henzada,0.0,,"In 1974: 1 events (1 floods), total damages: N/A ('000 US$)"
1974,14_122,14,122,1,97818.0,Quezon,Central Luzon,,97818.0,"In 1974: 1 events (1 floods), total damages: 97818.0 ('000 US$)"
1974,9_126,9,126,1,,Agusan Del Norte,Agusan Del Norte,0.0,,"In 1974: 1 events (1 floods), total damages: N/A ('000 US$)"
1974,-14_-65,-14,-65,1,57702.0,El Beni,Beni,,57702.0,"In 1974: 1 events (1 floods), total damages: 57702.0 ('000 US$)"
1974,-29_31,-29,31,1,,KwaZulu-Natal,Natal,0.0,,"In 1974: 1 events (1 floods), total damages: N/A ('000 US$)"
1974,28_95,28,95,1,,Assam,Dhemaji,0.0,,"In 1974: 1 events (1 floods), total damages: N/A ('000 US$)"
1974,55_-97,55,-97,1,79684.0,Manitoba,Manitoba,,79684.0,"In 1974: 1 events (1 floods), total damages: 79684.0 ('000 US$)"
1974,35_-1,35,-1,1,164862.0,Tlemcen,Tlemcem,0.0,164862.0,"In 1974: 1 events (1 floods), total damages: 164862.0 ('000 US$)"
1974,-9_37,-9,37,1,16486.0,Morogoro,Ulanga district,,16486.0,"In 1974: 1 events (1 floods), total damages: 16486.0 ('000 US$)"
1974,37_43,37,43,1,,Sirnak,Silopi,0.0,,"In 1974: 1 events (1 floods), total damages: N/A ('000 US$)"
1974,-38_-71,-38,-71,1,54954.0,Araucania, South,,54954.0,"In 1974: 1 events (1 floods), total damages: 54954.0 ('000 US$)"
1974,37_40,37,40,1,214321.0,Al Hasakah, Khabour,,214321.0,"In 1974: 1 events (1 floods), total damages: 214321.0 ('000 US$)"
1974,53_-72,53,-72,1,,Quebec,Quebec,,,"In 1974: 1 events (1 floods), total damages: N/A ('000 US$)"
1975,15_44,15,44,1,63945.0,San'a',Sana'A',0.0,63945.0,"In 1975: 1 events (1 floods), total damages: 63945.0 ('000 US$)"
1975,8_100,8,100,1,226577.0,Nakhon Si Thammarat,South,0.0,226577.0,"In 1975: 1 events (1 floods), total damages: 226577.0 ('000 US$)"
1975,45_29,45,29,1,251753.0,Tulcea, along Danube,,251753.0,"In 1975: 1 events (1 floods), total damages: 251753.0 ('000 US$)"
1975,8_126,8,126,1,,Davao Del Norte,Davao Del Norte,0.0,,"In 1975: 1 events (1 floods), total damages: N/A ('000 US$)"
1975,26_86,26,86,1,3596330.0,Bihar, Bihar,,3596330.0,"In 1975: 1 events (1 floods), total damages: 3596330.0 ('000 US$)"
1975,22_114,22,114,1,,Kowloon City,  Kowloon,0.0,,"In 1975: 1 events (1 floods), total damages: N/A ('000 US$)"
1975,-34_151,-34,151,1,,New South Wales,Sydney,,,"In 1975: 1 events (1 floods), total damages: N/A ('000 US$)"
1975,26_33,26,33,1,,Al Wadi Al Jadid,Nile river Valley,0.0,,"In 1975: 1 events (1 floods), total damages: N/A ('000 US$)"
1975,16_36,16,36,1,,Kassala,Gash River ,,,"In 1975: 1 events (1 floods), total damages: N/A ('000 US$)"
1975,-8_-35,-8,-35,1,1283434.0,Pernambuco,Recife,0.0,1283434.0,"In 1975: 1 events (1 floods), total damages: 1283434.0 ('000 US$)"
1976,-35_149,-35,149,1,,New South Wales,Queanreyan,,,"In 1976: 1 events (1 floods), total damages: N/A ('000 US$)"
1976,33_62,33,62,1,,Farah, Farah,,,"In 1976: 1 events (1 floods), total damages: N/A ('000 US$)"
1976,-8_113,-8,113,1,,Jawa Timur,Lumajang,0.0,,"In 1976: 1 events (1 floods), total damages: N/A ('000 US$)"
1976,53_-72,53,-72,1,,Quebec,Quebec,,,"In 1976: 1 events (1 floods), total damages: N/A ('000 US$)"
1976,34_72,34,72,1,2404564.0,N.W.F.P.,N.W.F.P.,0.0,2404564.0,"In 1976: 1 events (1 floods), total damages: 2404564.0 ('000 US$)"
1976,6_44,6,44,1,,Somali,Gode,,,"In 1976: 1 events (1 floods), total damages: N/A ('000 US$)"
1976,41_-105,41,-105,1,195222.0,Colorado,Big Thompson Canyon,0.0,195222.0,"In 1976: 1 events (1 floods), total damages: 195222.0 ('000 US$)"
1976,22_114,22,114,1,,Tsuen Wan, Tuen Mun ,,,"In 1976: 1 events (1 floods), total damages: N/A ('000 US$)"
1976,-41_175,-41,175,1,,Wellington,Lower Hutt,0.0,,"In 1976: 1 events (1 floods), total damages: N/A ('000 US$)"
1976,20_94,20,94,1,,Rakhine,Arakan,,,"In 1976: 1 events (1 floods), total damages: N/A ('000 US$)"
1976,9_125,9,125,1,,Misamis Oriental,Misamis Oriental,0.0,,"In 1976: 1 events (1 floods), total damages: N/A ('000 US$)"
1976,12_122,12,122,1,7395.0,Aklan,Aklan,0.0,7395.0,"In 1976: 1 events (1 floods), total damages: 7395.0 ('000 US$)"
1977,22_114,22,114,1,,Kwun Tong, Lei U Mun,0.0,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,-43_171,-43,171,1,,West Coast,Greymouth,0.0,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,47_9,47,9,1,,Uri,Uri canton,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,-5_-78,-5,-78,1,,Amazonas,Amazonas province,0.0,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,30_79,30,79,1,,Uttarakhand,Ganges region,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,45_7,45,7,1,196717.0,Piemonte,South West Turin,,196717.0,"In 1977: 1 events (1 floods), total damages: 196717.0 ('000 US$)"
1977,7_126,7,126,1,8553.0,Davao Oriental,Mindanao,0.0,8553.0,"In 1977: 1 events (1 floods), total damages: 8553.0 ('000 US$)"
1977,-6_107,-6,107,1,,Jakarta Raya,Jakarta,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,25_122,25,122,1,,Taipei,Tapei,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,15_121,15,121,1,,Metropolitan Manila,Manila,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,11_78,11,78,1,,Tamil Nadu,Tamil Nadu,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,40_-79,40,-79,1,894167.0,Pennsylvania,Johnstown,0.0,894167.0,"In 1977: 1 events (1 floods), total damages: 894167.0 ('000 US$)"
1977,10_123,10,123,1,,Cebu,Mindanao,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,-30_-53,-30,-53,1,,Rio Grande Do Sul,Rio Grande Do Sul,0.0,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,-32_147,-32,147,1,,New South Wales,New South Wales,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,-13_-72,-13,-72,1,4471.0,Cusco,Cuzco city,0.0,4471.0,"In 1977: 1 events (1 floods), total damages: 4471.0 ('000 US$)"
1977,38_24,38,24,1,125183.0,Attica,Piraeus,60.0,125183.0,"In 1977: 1 events (1 floods), total damages: 125183.0 ('000 US$)"
1977,36_-5,36,-5,1,,Tanger-Tetouan, Tetsuan province,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,38_127,38,127,1,89417.0,Seoul,Seoul area,0.0,89417.0,"In 1977: 1 events (1 floods), total damages: 89417.0 ('000 US$)"
1977,-26_28,-26,28,1,,Gauteng,Johannesburg,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,-7_108,-7,108,1,,Jawa Barat,Bandung district,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,12_43,12,43,1,11177.0,Djibouti,Djibouti city,,11177.0,"In 1977: 1 events (1 floods), total damages: 11177.0 ('000 US$)"
1977,-23_33,-23,33,1,248131.0,Gaza,Limpopo River Valley ,,248131.0,"In 1977: 1 events (1 floods), total damages: 248131.0 ('000 US$)"
1977,25_67,25,67,1,,Sind,Karachi,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,-7_110,-7,110,1,,Jawa Tengah,Central Java,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,-17_-61,-17,-61,1,44708.0,Santa Cruz,Santa Cruz department,0.0,44708.0,"In 1977: 1 events (1 floods), total damages: 44708.0 ('000 US$)"
1977,-8_-35,-8,-35,1,,Pernambuco,Recife,,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,38_-98,38,-98,1,,Kansas,Kansas,0.0,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1977,44_0,44,0,1,,Occitanie,Gers,0.0,,"In 1977: 1 events (1 floods), total damages: N/A ('000 US$)"
1978,4_96,4,96,1,,Aceh,West Achem,,,"In 1978: 1 events (1 floods), total damages: N/A ('000 US$)"
