grid_id,lat,lon,total_event_count,earliest_event_year,latest_event_year,total_damages,primary_admin1,unique_locations,avg_duration,avg_damage_per_flood,total_deaths,total_affected,reconstruction_costs,predominant_subtype,ofda_response_count,predominant_river_basin,flood_recurrence_interval,event_summary,severity_score
-11_-65,-11,-65,1,2014,2014,228921.0,Rondonia,Guajaramirim,,228921.0,0.0,67500.0,,Riverine flood,0,Madeira,0.0,"1 events (1 floods) from 2014 to 2014, total damages: 228921.0 ('000 US$)",0.0006273978166053879
-11_-67,-11,-67,1,2012,2012,,Pando,Pando,,,13.0,69085.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2012 to 2012, total damages: 0.0 ('000 US$)",0.0002152745578591773
-11_-69,-11,-69,1,2015,2015,,Pando,Cobija city ,4.0,,0.0,4000.0,,,0,"Tahuamanu, Acre rivers",0.0,"1 events (1 floods) from 2015 to 2015, total damages: 0.0 ('000 US$)",0.0
-11_-75,-11,-75,1,1987,1987,,Pasco,Villarica,,,73.0,3019.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 1987 to 1987, total damages: 0.0 ('000 US$)",0.0012088494402861497
-11_-78,-11,-78,1,2002,2002,,Lima,Barranca,11.0,,6.0,8349.0,,Riverine flood,0,"Rimac, Chillon, Caete Rivers",0.0,"1 events (1 floods) from 2002 to 2002, total damages: 0.0 ('000 US$)",9.935748824269723e-05
-11_14,-11,14,1,2000,2000,,Cuanza Sul,Porto-Amboin,0.0,,1.0,3000.0,,,0,,0.0,"1 events (1 floods) from 2000 to 2000, total damages: 0.0 ('000 US$)",1.655958137378287e-05
-11_15,-11,15,2,2010,2016,,Cuanza Sul,"Cuanza Sul, Ebo district",5.0,,30.0,76544.0,,Riverine flood,0,,3.0,"2 events (2 floods) from 2010 to 2016, total damages: 0.0 ('000 US$)",0.01716345410788015
-11_162,-11,162,1,2012,2012,,Makira Ulawa,Makira/Ulawa province,123.0,,0.0,4836.0,,Flash flood,0,,0.0,"1 events (1 floods) from 2012 to 2012, total damages: 0.0 ('000 US$)",0.0
-11_20,-11,20,1,2016,2016,,Lunda Sul, Dala,3.0,,6.0,2755.0,,Flash flood,0,,0.0,"1 events (1 floods) from 2016 to 2016, total damages: 0.0 ('000 US$)",9.935748824269723e-05
-11_33,-11,33,1,2007,2007,,Muchinga,Chama,49.0,,0.0,2000.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2007 to 2007, total damages: 0.0 ('000 US$)",0.0
-11_34,-11,34,2,2003,2016,,Mzimba,"Mzuzu, Mzuzu city ",4.0,,16.0,3800.0,,Flash flood,0,,6.5,"2 events (2 floods) from 2003 to 2016, total damages: 0.0 ('000 US$)",0.016931619968647192
-11_39,-11,39,1,1990,1990,581.0,Mtwara,Masasi,7.0,581.0,183.0,162000.0,,Riverine flood,1,Masangati,0.0,"1 events (1 floods) from 1990 to 1990, total damages: 581.0 ('000 US$)",0.0020218475902653897
-12_-41,-12,-41,1,2013,2013,2326.0,Bahia,Lajedinho,3.0,2326.0,19.0,600.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2013 to 2013, total damages: 2326.0 ('000 US$)",0.00021611594053122358
-12_-42,-12,-42,4,1964,1992,62007.0,Bahia,"Bahia, Bahia state",5.5,15501.75,177.0,196950.0,,Riverine flood,2,,7.0,"4 events (4 floods) from 1964 to 1992, total damages: 62007.0 ('000 US$)",0.03545729491197769
-12_-71,-12,-71,2,2011,2014,,Madre De Dios," Madre de Dios, Manu",3.0,,6.0,19000.0,,Riverine flood,0,,1.5,"2 events (2 floods) from 2011 to 2014, total damages: 0.0 ('000 US$)",0.016766024154909364
-12_-74,-12,-74,2,2001,2002,,Junin,Satipo,0.5,,13.0,660.0,,Flash flood,0,,0.5,"2 events (2 floods) from 2001 to 2002, total damages: 0.0 ('000 US$)",0.016881941224525843
-12_-75,-12,-75,1,1990,1990,,Junin,Huancayo,2.0,,20.0,2500.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 1990 to 1990, total damages: 0.0 ('000 US$)",0.0003311916274756574
-12_-77,-12,-77,4,1970,2015,36292.0,Lima," Callo,  Santa Eulalia area , 1, Chosica",0.0,9073.0,145.0,164815.0,,Riverine flood,1,,11.25,"4 events (4 floods) from 1970 to 2015, total damages: 36292.0 ('000 US$)",0.03503354587322298
-12_18,-12,18,1,1989,1989,,Bie,Kwanza province,,,0.0,100000.0,,,0,,0.0,"1 events (1 floods) from 1989 to 1989, total damages: 0.0 ('000 US$)",0.0
-12_34,-12,34,1,1995,1995,,Nkhata Bay, Nkhata Bay ,,,1.0,1000.0,,,0,,0.0,"1 events (1 floods) from 1995 to 1995, total damages: 0.0 ('000 US$)",1.655958137378287e-05
-12_39,-12,39,3,2014,2018,5503.0,Cabo Delgado," Cabo Delgado, Cabo Delgado, Cabo Delgado province",15.0,1834.3333333333333,27.0,83750.0,,,0,,1.3333333333333333,"3 events (3 floods) from 2014 to 2018, total damages: 5503.0 ('000 US$)",0.02253536324133575
-12_44,-12,44,2,2009,2012,5901.0,Mwali,Moheli,27.0,2950.5,64.0,285137.0,,Riverine flood,2,Vuvelai basin,1.5,"2 events (2 floods) from 2009 to 2012, total damages: 5901.0 ('000 US$)",0.011833812616160282
-13_-38,-13,-38,1,1971,1971,34798.0,Bahia,Salvador,0.0,34798.0,109.0,13000.0,,,1,,0.0,"1 events (1 floods) from 1971 to 1971, total damages: 34798.0 ('000 US$)",0.0012986879306344182
-13_-72,-13,-72,7,1977,2016,6729.0,Cusco," Cusco, Cusco, Cuzco, Cuzco city, Cuzco province",7.333333333333333,961.2857142857143,484.0,119354.0,,Riverine flood,0,"Ralis, Sullca, Urubamba, Coschireni rivers",5.571428571428571,"7 events (7 floods) from 1977 to 2016, total damages: 6729.0 ('000 US$)",0.07202832028395437
-13_-75,-13,-75,1,2000,2000,,Huancavelica,Angaraes Province,0.0,,22.0,50.0,,Flash flood,0,,0.0,"1 events (1 floods) from 2000 to 2000, total damages: 0.0 ('000 US$)",0.00036431079022322313
-13_14,-13,14,2,2006,2011,,Benguela," Benguela,  Benguela provinces",,,113.0,65309.0,,Riverine flood,0,,2.5,"2 events (2 floods) from 2006 to 2011, total damages: 0.0 ('000 US$)",0.01853789936190413
-13_15,-13,15,1,2000,2000,,Benguela,Ganda,0.0,,11.0,11.0,,,0,,0.0,"1 events (1 floods) from 2000 to 2000, total damages: 0.0 ('000 US$)",0.00018215539511161157
-13_16,-13,16,1,2010,2010,,Huambo,Huambo,3.0,,18.0,3895.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2010 to 2010, total damages: 0.0 ('000 US$)",0.00029807246472809165
-13_17,-13,17,2,2001,2002,,Bie,Kuito,0.0,,17.0,5.0,,Riverine flood,0,,0.5,"2 events (2 floods) from 2001 to 2002, total damages: 0.0 ('000 US$)",0.016948179550020974
-13_22,-13,22,1,2004,2004,,North-Western,Chavuma,122.0,,0.0,0.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2004 to 2004, total damages: 0.0 ('000 US$)",0.0
-13_25,-13,25,1,2008,2008,,North-Western,North-Western,82.0,,4.0,15000.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2008 to 2008, total damages: 0.0 ('000 US$)",6.623832549513148e-05
-13_33,-13,33,1,2001,2001,10253.0,Kasungu, Kasungu,,10253.0,59.0,500000.0,,Coastal flood,1,Shire River,0.0,"1 events (1 floods) from 2001 to 2001, total damages: 10253.0 ('000 US$)",0.0006794305739303207
-14_-171,-14,-171,1,2003,2003,73650.0,Eastern, Fagatogo,1.0,73650.0,6.0,3.0,,Flash flood,0,,0.0,"1 events (1 floods) from 2003 to 2003, total damages: 73650.0 ('000 US$)",0.00026807966556705216
-14_-172,-14,-172,1,2001,2001,2295.0,Atua,Atua,0.0,2295.0,0.0,0.0,,Flash flood,0,,0.0,"1 events (1 floods) from 2001 to 2001, total damages: 2295.0 ('000 US$)",6.276280382438704e-06
-14_-65,-14,-65,6,1974,2013,1371652.0,El Beni," Beni, Beni, Beni department",1.5,228608.66666666666,371.0,451995.0,,Riverine flood,4,"Beni, Mamore, Madera, Itenez",6.5,"6 events (6 floods) from 1974 to 2013, total damages: 1371652.0 ('000 US$)",0.06341061129818977
-14_-67,-14,-67,1,1999,1999,,El Beni,Rurrenabaque,3.0,,0.0,1600.0,,Riverine flood,0,Beni,0.0,"1 events (1 floods) from 1999 to 1999, total damages: 0.0 ('000 US$)",0.0
-14_-69,-14,-69,1,2008,2008,,Puno,Alto Inambari district,39.0,,40.0,450012.0,,Riverine flood,0,"Ucayali, Tarma, Huayabamba, Saposoa, Mayo, Paranupura",0.0,"1 events (1 floods) from 2008 to 2008, total damages: 0.0 ('000 US$)",0.0006623832549513148
-14_-72,-14,-72,1,1990,1990,,Cusco,Chumbivilcas Province,3.0,,21.0,100.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 1990 to 1990, total damages: 0.0 ('000 US$)",0.0003477512088494403
-14_-73,-14,-73,2,1992,1994,91405.0,Apurimac,"Apurimac, Grau",2.0,45702.5,52.0,131100.0,,Riverine flood,2,,1.0,"2 events (2 floods) from 1992 to 1994, total damages: 91405.0 ('000 US$)",0.011935679667274839
-14_132,-14,132,2,1998,2006,166231.0,Northern Territory,Katherine,4.0,83115.5,2.0,2275.0,,Coastal flood,0,"Katherine, Daly",4.0,"2 events (2 floods) from 1998 to 2006, total damages: 166231.0 ('000 US$)",0.01158877176816171
-14_23,-14,23,1,2011,2011,,Western, Lukulu,,,113.0,65084.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2011 to 2011, total damages: 0.0 ('000 US$)",0.0018712326952374644
-14_29,-14,29,1,2007,2007,,Central,Central,120.0,,0.0,6000.0,,Riverine flood,0,"Okavango, Cuanza",0.0,"1 events (1 floods) from 2007 to 2007, total damages: 0.0 ('000 US$)",0.0
-14_32,-14,32,1,2001,2001,,Eastern,Eastern,,,5.0,617900.0,,,0,,0.0,"1 events (1 floods) from 2001 to 2001, total damages: 0.0 ('000 US$)",8.279790686891435e-05
-14_34,-14,34,4,2010,2018,,Salima," Karnga ,  Kilipula,  Kyungu, Dedza district",9.0,,1.0,103861.0,,Riverine flood,0,North Rukuru River,2.0,"4 events (4 floods) from 2010 to 2018, total damages: 0.0 ('000 US$)",0.050016559581373785
-14_35,-14,35,3,1969,2012,1477.0,Mangochi,"Mangochi, Mangochi region, Shire River valley",7.0,492.3333333333333,7.0,74685.0,,Riverine flood,1,Linthipe,14.333333333333334,"3 events (3 floods) from 1969 to 2012, total damages: 1477.0 ('000 US$)",0.02230353462877423
-15_-56,-15,-56,1,2001,2001,,Mato Grosso,Cuiaba,1.0,,23.0,4000.0,,Riverine flood,0,Cuiba,0.0,"1 events (1 floods) from 2001 to 2001, total damages: 0.0 ('000 US$)",0.00038087037159700605
-15_-68,-15,-68,5,1965,2016,151503.0,La Paz," Apolo municipality , Cangalli, La Paz",1.75,30300.6,120.0,14791.0,15064.0,Flash flood,1,"Coqueyapu, La Paz",10.2,"5 events (5 floods) from 1965 to 2016, total damages: 151503.0 ('000 US$)",0.046184426642285364
-15_-70,-15,-70,4,2002,2009,,Puno," Huancane, Azangaro, Puno",16.333333333333332,,193.0,303939.0,,Riverine flood,1,"Inambari, Puquir, Colorado, Manu, Tambopata, Choco, Huancane, Huatanaya, Ramis, Vilcanota",1.75,"4 events (4 floods) from 2002 to 2009, total damages: 0.0 ('000 US$)",0.05319599920514009
-15_14,-15,14,1,2016,2016,,Huila,Lubango district,1.0,,54.0,0.0,,Flash flood,0,"Capitao, Caculuvar rivers",0.0,"1 events (1 floods) from 2016 to 2016, total damages: 0.0 ('000 US$)",0.0008942173941842751
-15_22,-15,22,1,2009,2009,,Western,Kalabo,28.0,,31.0,614814.0,,Riverine flood,0,Zambezi and Kwando rivers,0.0,"1 events (1 floods) from 2009 to 2009, total damages: 0.0 ('000 US$)",0.000513347022587269
-15_27,-15,27,1,2013,2013,,Central,Nagoma,,,0.0,1800.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2013 to 2013, total damages: 0.0 ('000 US$)",0.0
-15_29,-15,29,2,1978,2003,831.0,Lusaka,Lusaka,0.0,415.5,15.0,31900.0,,Riverine flood,1,,12.5,"2 events (2 floods) from 1978 to 2003, total damages: 831.0 ('000 US$)",0.011278970770960682
-15_35,-15,35,5,1989,2015,445868.0,Balaka,Balaka,16.75,89173.6,303.0,1265234.0,,Coastal flood,3,"Lower Shire Valley, Nyamadzere",5.2,"5 events (5 floods) from 1989 to 2015, total damages: 445868.0 ('000 US$)",0.04901147167240939
-15_39,-15,39,4,2002,2016,445868.0,Nampula," Nampula,  Zambezia and Nampula province, City  Nampula, Nampula",23.333333333333332,111467.0,385.0,1024145.0,,Riverine flood,2,Vuvelai basin,3.5,"4 events (4 floods) from 2002 to 2016, total damages: 445868.0 ('000 US$)",0.03880561767639842
-16_-50,-16,-50,1,1989,1989,,Goias,Goias,0.0,,35.0,200000.0,,Riverine flood,0,Paraquacu river,0.0,"1 events (1 floods) from 1989 to 1989, total damages: 0.0 ('000 US$)",0.0005795853480824004
-16_-72,-16,-72,3,1989,2017,110546.0,Arequipa," Caylloma, Arequipa",22.666666666666668,36848.666666666664,120.0,557266.0,,Riverine flood,1,,9.333333333333334,"3 events (3 floods) from 1989 to 2017, total damages: 110546.0 ('000 US$)",0.023849952186166402
-16_168,-16,168,1,2009,2009,,Malampa,North Ambrym,0.0,,0.0,950.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2009 to 2009, total damages: 0.0 ('000 US$)",0.0
-16_179,-16,179,1,2006,2006,672.0,Northern,Labasa,5.0,672.0,4.0,224.0,,Riverine flood,0,"Waiqele, Naseakula",0.0,"1 events (1 floods) from 2006 to 2006, total damages: 672.0 ('000 US$)",4.598695310232344e-05
-16_20,-16,20,3,2004,2018,,Cuando Cubango," Cuando Cubango, Cuando Cubango",83.66666666666667,,8.0,9000.0,,Riverine flood,0,"Okavango, Cuanza",4.666666666666667,"3 events (3 floods) from 2004 to 2018, total damages: 0.0 ('000 US$)",0.033465809984323594
-16_28,-16,28,4,1989,2014,,Lusaka,"Chiawa Region, Chilanga, Kafue, Mazabuka",20.0,,10.0,866766.0,,Riverine flood,1,Magoya,6.25,"4 events (4 floods) from 1989 to 2014, total damages: 0.0 ('000 US$)",0.050165595813737834
-16_31,-16,31,3,2001,2007,300108.0,Mashonaland Central," Guruve districts , Muzarabani",3.0,100036.0,18.0,63000.0,,Riverine flood,0,"Kadzi, Kadzurure, Musengezi, Chihuri, Tsoro, Mataure, Utete, Muringazuva, Hambe, Dande",2.0,"3 events (3 floods) from 2001 to 2007, total damages: 300108.0 ('000 US$)",0.02324343963172552
-16_33,-16,33,1,1999,1999,20171.0,Tete,Tete,59.0,20171.0,23.0,70000.0,,Riverine flood,1,"Pungoe, Buzi, Govuro, Zambezi, Limpopo, Changane, Save",0.0,"1 events (1 floods) from 1999 to 1999, total damages: 20171.0 ('000 US$)",0.0003091832187032117
-16_35,-16,35,9,1995,2007,132261.0,Chikwawa,"Blantyre, Chikawa district, Chikwana, Chikwawa, Chikwawa & Nsauje, Chikwawa district, Chiradzulu",16.875,14695.666666666666,44.0,747316.0,,Riverine flood,2,"Buzi, Pungue, Save, Zambèze",1.3333333333333333,"9 events (9 floods) from 1995 to 2007, total damages: 132261.0 ('000 US$)",0.08973711509750958
-16_36,-16,36,3,1991,2011,47751.0,Mulanje," Nazombe, Mulanje, Mulanje district",5.0,15917.0,585.0,231464.0,,Riverine flood,1,,6.666666666666667,"3 events (3 floods) from 1991 to 2011, total damages: 47751.0 ('000 US$)",0.02881131803360449
-17_-61,-17,-61,2,1977,1992,237821.0,Santa Cruz,"Santa Cruz, Santa Cruz department",73.0,118910.5,10.0,90000.0,,Riverine flood,0,,7.5,"2 events (2 floods) from 1977 to 1992, total damages: 237821.0 ('000 US$)",0.011873298667619027
-17_-66,-17,-66,8,1986,2016,503363.0,Cochabamba,"Chapare, Cochabamba, La Pazn Cochabamba, Quillacollo-Cochabamba department, Tarija, near Chapare",18.625,62920.375,174.0,1054964.0,,Riverine flood,2,Greda Mayu,3.75,"8 events (8 floods) from 1986 to 2016, total damages: 503363.0 ('000 US$)",0.08107825949693728
-17_-70,-17,-70,1,2001,2001,,Puno,El Collao,20.0,,0.0,46000.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2001 to 2001, total damages: 0.0 ('000 US$)",0.0
-17_131,-17,131,1,2001,2001,19894.0,Northern Territory,Daguragu,5.0,19894.0,0.0,670.0,,Coastal flood,0,,0.0,"1 events (1 floods) from 2001 to 2001, total damages: 19894.0 ('000 US$)",5.451045437830716e-05
-17_146,-17,146,1,2008,2008,1384409.0,Queensland,Atherton,13.0,1384409.0,2.0,1000.0,,Riverine flood,0,"Poineer, Burdekin, Fitzroy",0.0,"1 events (1 floods) from 2008 to 2008, total damages: 1384409.0 ('000 US$)",0.0038163622656612614
-17_16,-17,16,3,2001,2010,,Cunene,"Evale, Onjiva",23.0,,115.0,370814.0,,Riverine flood,2,"Beiro, Giraul rivers",3.0,"3 events (3 floods) from 2001 to 2010, total damages: 0.0 ('000 US$)",0.03523768519131836
-17_179,-17,179,1,1986,1986,38071.0,Northern,Bua,0.0,38071.0,19.0,215000.0,,,1,,0.0,"1 events (1 floods) from 1986 to 1986, total damages: 38071.0 ('000 US$)",0.00031408346990688797
-17_18,-17,18,1,2011,2011,,Cuando Cubango,Kuangar district ,,,0.0,20100.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2011 to 2011, total damages: 0.0 ('000 US$)",0.0
-17_19,-17,19,2,2004,2008,,Cuando Cubango,"Calai, Catata",33.0,,34.0,413100.0,,Riverine flood,1,Cunene river,2.0,"2 events (2 floods) from 2004 to 2008, total damages: 0.0 ('000 US$)",0.017229692433375285
-17_26,-17,26,1,2005,2005,,Southern,Kazungula,,,0.0,4000.0,,Riverine flood,0,"Zambia, Kasaya, Ngwezi rivers",0.0,"1 events (1 floods) from 2005 to 2005, total damages: 0.0 ('000 US$)",0.0
-17_28,-17,28,2,2003,2010,,Southern,"Gwembe, Gwembe district",10.0,,0.0,11200.0,,Riverine flood,0,Kafue,3.5,"2 events (2 floods) from 2003 to 2010, total damages: 0.0 ('000 US$)",0.016666666666666666
-17_30,-17,30,1,2014,2014,,Mashonaland West, Mashonaland West,,,11.0,1500.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2014 to 2014, total damages: 0.0 ('000 US$)",0.00018215539511161157
-17_31,-17,31,1,2018,2018,,Mashonaland Central, Mashonaland Central province,27.0,,0.0,4225.0,,,0,,0.0,"1 events (1 floods) from 2018 to 2018, total damages: 0.0 ('000 US$)",0.0
-17_35,-17,35,3,2012,2014,34895.0,Nsanje," Nsanje,  Nsanje districts, Nsanje district",1.0,11631.666666666666,130.0,267850.0,,Riverine flood,1,,0.6666666666666666,"3 events (3 floods) from 2012 to 2014, total damages: 34895.0 ('000 US$)",0.023753010143267368
-17_37,-17,37,2,1978,2007,261693.0,Zambezia,"Namacurra, Zambesi valley",3.0,130846.5,45.0,203500.0,,Riverine flood,0,,14.5,"2 events (2 floods) from 1978 to 2007, total damages: 261693.0 ('000 US$)",0.012325115696743643
-18_-149,-18,-149,1,2017,2017,2211.0,Iles Du Vent,Tahiti,3.0,2211.0,0.0,5004.0,,,0,,0.0,"1 events (1 floods) from 2017 to 2017, total damages: 2211.0 ('000 US$)",6.046058743956236e-06
-18_-41,-18,-41,1,2002,2002,,Minas Gerais,Teofilo Otoni,2.0,,17.0,1500.0,,Riverine flood,0,"Santo Antonio, Todos os Santos rivers",0.0,"1 events (1 floods) from 2002 to 2002, total damages: 0.0 ('000 US$)",0.0002815128833543088
-18_-45,-18,-45,7,1979,2003,478964.0,Minas Gerais," Minas Girais, Minas Gerais, Minas Gerais state",0.0,68423.42857142857,644.0,4723770.0,,Riverine flood,2,,3.4285714285714284,"7 events (7 floods) from 1979 to 2003, total damages: 478964.0 ('000 US$)",0.07508894605250035
-18_-68,-18,-68,1,2006,2006,47045.0,La Paz,Papel Pampa,82.0,47045.0,25.0,126096.0,,Riverine flood,1,"Rio Grande, Guanay, Tipuani, Mapiri, Challana",0.0,"1 events (1 floods) from 2006 to 2006, total damages: 47045.0 ('000 US$)",0.0004049171404465631
-18_-70,-18,-70,1,2012,2012,3659.0,Arica Y Parinacota,Arica And Parinacota,14.0,3659.0,0.0,4300.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2012 to 2012, total damages: 3659.0 ('000 US$)",1.0014641273987346e-05
-18_139,-18,139,1,1998,1998,,Queensland,Burketown,0.0,,0.0,7000.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 1998 to 1998, total damages: 0.0 ('000 US$)",0.0
-18_15,-18,15,3,2009,2017,,Omusati," Omusati, Anamulenge, Omusati region",23.0,,60.0,223152.0,,Riverine flood,1,Vuvelai basin,2.6666666666666665,"3 events (3 floods) from 2009 to 2017, total damages: 0.0 ('000 US$)",0.0343269082157603
-18_17,-18,17,1,2008,2008,,Ohangwena,Ohangwena,32.0,,7.0,81400.0,,Riverine flood,1,,0.0,"1 events (1 floods) from 2008 to 2008, total damages: 0.0 ('000 US$)",0.0001159170696164801
-18_178,-18,178,8,1964,2012,217626.0,Western,"Ba, Lautoka, Western",5.875,27203.25,38.0,49601.0,,Riverine flood,4,"Qawa, Nadi",6.0,"8 events (8 floods) from 1964 to 2012, total damages: 217626.0 ('000 US$)",0.07879372840101115
-18_20,-18,20,3,2004,2011,14456.0,Kavango,Kavango,54.666666666666664,4818.666666666667,116.0,610000.0,,Riverine flood,1,,2.3333333333333335,"3 events (3 floods) from 2004 to 2011, total damages: 14456.0 ('000 US$)",0.023542436192481787
-18_24,-18,24,4,2003,2013,34895.0,Zambezi,"Caprivi, Caprivi Strip, Caprivi region, Katima",60.0,8723.75,128.0,272000.0,,Riverine flood,1,Zambezi,2.5,"4 events (4 floods) from 2003 to 2013, total damages: 34895.0 ('000 US$)",0.03484204181254677
-18_31,-18,31,1,2010,2010,,Harare,Mbire,0.0,,0.0,820.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2010 to 2010, total damages: 0.0 ('000 US$)",0.0
-18_35,-18,35,1,2005,2005,,Sofala,Caia,15.0,,0.0,18825.0,,Riverine flood,0,"Lower Zambezi river, Pungue river",0.0,"1 events (1 floods) from 2005 to 2005, total damages: 0.0 ('000 US$)",0.0
-18_37,-18,37,3,2003,2013,127683.0,Zambezia," Cidade de Quelimane, Quelimane",47.0,42561.0,152.0,625003.0,,Riverine flood,1,"Meluli, Mutivaze, Monapo, Licungo, Revubue, Muaguide, Montepuez, Messalo",3.3333333333333335,"3 events (3 floods) from 2003 to 2013, total damages: 127683.0 ('000 US$)",0.024250191210457985
-18_48,-18,48,1,2005,2005,,Toamasina,Lake Alaotra,13.0,,25.0,58717.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2005 to 2005, total damages: 0.0 ('000 US$)",0.00041398953434457176
-18_49,-18,49,1,1998,1998,,Toamasina, Tamatave,,,0.0,20000.0,,,0,,0.0,"1 events (1 floods) from 1998 to 1998, total damages: 0.0 ('000 US$)",0.0
-19_-41,-19,-41,1,2001,2001,,Espirito Santo,Nova Venecia,4.0,,12.0,5100.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2001 to 2001, total damages: 0.0 ('000 US$)",0.00019871497648539445
-19_-43,-19,-43,2,2007,2010,,Minas Gerais," Santo Antonio Do Rio Abaixo, Mesquita",3.0,,41.0,15272.0,,Riverine flood,0,,1.5,"2 events (2 floods) from 2007 to 2010, total damages: 0.0 ('000 US$)",0.017345609502991764
-19_-70,-19,-70,1,2001,2001,13620.0,Arica Y Parinacota,Arica,0.0,13620.0,0.0,2559.0,,,0,,0.0,"1 events (1 floods) from 2001 to 2001, total damages: 13620.0 ('000 US$)",3.731509057069998e-05
-19_128,-19,128,1,2011,2011,,Western Australia,Warmum,4.0,,0.0,217.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2011 to 2011, total damages: 0.0 ('000 US$)",0.0
-19_169,-19,169,1,2002,2002,,Tafea,Tafea province,4.0,,0.0,3001.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2002 to 2002, total damages: 0.0 ('000 US$)",0.0
-19_33,-19,33,2,1997,2003,,Manica,Manica,28.5,,67.0,800000.0,,Riverine flood,1,Save,3.0,"2 events (2 floods) from 1997 to 2003, total damages: 0.0 ('000 US$)",0.017776158618710118
-19_34,-19,34,1,2011,2011,,Sofala, Nhamatanda,,,11.0,30000.0,,Riverine flood,0,,0.0,"1 events (1 floods) from 2011 to 2011, total damages: 0.0 ('000 US$)",0.00018215539511161157
-19_35,-19,35,2,1989,2001,55092.0,Sofala,"Mafambisse, Sofala",116.0,27546.0,81.0,549326.0,,Coastal flood,1,"Zambezi, Nhamadzi, Dziwedziwe, Nipiode River, Pungue and Buzi Rivers, Zambezi River, Save River",6.0,"2 events (2 floods) from 1989 to 2001, total damages: 55092.0 ('000 US$)",0.01215630730766543
